"","site","mu","ci.lo95","ci.hi95","med","hpdi.lo95","hpdi.hi95"
"1","BG",0.160482234594062,0.0249818465330924,0.521279256415805,0.13151724635994,5.49705692781928e-05,0.389551523858047
"2","BR",0.122096103866457,0.030129982861135,0.336479761403852,0.106062116440185,0.00304756167532451,0.254900384819037
"3","CF",0.129167662025252,0.00686597561538968,0.570854846784315,0.0861908243630661,1.23476335356806e-06,0.419342478723795
"4","CP3",0.143808313350856,0.0318820434484421,0.385894550953966,0.126077672914695,0.004511511938216,0.296355954832659
"5","DEM",0.118903208397293,0.0143463709768869,0.44512582597437,0.0886839037028319,5.04119814073551e-06,0.323472808607262
"6","DLW",0.114657209478831,0.010143027613707,0.434092948405135,0.08887691031562,1.37901748145294e-05,0.307184284515497
"7","EC",0.205882452885496,0.0266061180588352,0.633530071206924,0.168698330011843,1.60701543373198e-05,0.510674246513599
"8","FR",0.118687342165331,0.0122935898520521,0.430824803067758,0.0919209784862007,6.23334399031971e-05,0.315568366336249
"9","GCN",0.233047876546459,0.0602009232273882,0.552192823622346,0.213972267662039,0.0230858610157424,0.461687978504358
"10","KYE",0.108180577096504,0.0120201090025748,0.402384698600451,0.0829531578154298,6.31253745272073e-05,0.28452939508617
"11","LCE",0.101624731433836,0.00204484553183363,0.552924405692193,0.0526879662534888,4.00479379072132e-07,0.383381268754039
"12","LCW",0.0956717901610457,0.003038765406383,0.479522413689255,0.0568398617298872,8.19817503409087e-06,0.33434502494478
"13","LO",0.10700100327582,0.00277546578595775,0.56940126150323,0.0583275668676119,1.45869126329633e-06,0.40706130363252
"14","MC",0.118035139588907,0.0100025072377979,0.444364622738201,0.0895039173239404,5.01747060000801e-05,0.324016413217316
"15","OKRE",0.101519540014543,0.00885581239133647,0.393220262247966,0.0772794193741876,1.11729121401096e-05,0.281128395968486
"16","OKRW",0.109638607510947,0.0255979959947155,0.302920542839234,0.0955286795321399,0.00201329542642595,0.223382827293547
"17","OSR",0.191646808139119,0.0353355086459382,0.522550138835311,0.170083469021738,0.00194362945260562,0.411257180900107
"18","S22",0.269751208994066,0.012632352116729,0.837602328721594,0.208946322195585,4.03039275991635e-05,0.731971481216746
"19","SM",0.192721054613293,0.0459268226001134,0.480276397869586,0.173989296588471,0.0125144370942989,0.388415691199314
"20","URS",0.093718218521006,0.00622715216329128,0.386569963267578,0.0685460511812215,9.31274623809172e-06,0.266174565312919
