"","site","s0"
"1","BG",0.885408787716939
"2","BR",0.844867458417887
"3","CF",0.854844903101523
"4","CP3",0.914673236023991
"5","DEM",0.853643930559589
"6","DLW",0.890718626541286
"7","EC",0.841988627502707
"8","FR",0.888847472668135
"9","GCN",0.874116941653022
"10","KYE",0.908752358973509
"11","LCE",0.842451385106943
"12","LCW",0.90108810578295
"13","LO",0.854617037018474
"14","MC",0.90863367996429
"15","OKRE",0.907628247905432
"16","OKRW",0.897412073394331
"17","OSR",0.86560236337477
"18","S22",0.914967934070516
"19","SM",0.779926262404926
"20","URS",0.886014031015576
